#ENA	NCBI	original
ENA|JAZBNO010000001|JAZBNO010000001.1	JAZBNO010000001.1	chr1
ENA|JAZBNO010000066|JAZBNO010000066.1	JAZBNO010000066.1	scaffold_66
ENA|JAZBNO010000067|JAZBNO010000067.1	JAZBNO010000067.1	scaffold_67
ENA|JAZBNO010000068|JAZBNO010000068.1	JAZBNO010000068.1	scaffold_68
ENA|JAZBNO010000069|JAZBNO010000069.1	JAZBNO010000069.1	scaffold_69
ENA|JAZBNO010000070|JAZBNO010000070.1	JAZBNO010000070.1	scaffold_70
ENA|JAZBNO010000071|JAZBNO010000071.1	JAZBNO010000071.1	scaffold_71
ENA|JAZBNO010000072|JAZBNO010000072.1	JAZBNO010000072.1	scaffold_72
ENA|JAZBNO010000073|JAZBNO010000073.1	JAZBNO010000073.1	scaffold_73
ENA|JAZBNO010000074|JAZBNO010000074.1	JAZBNO010000074.1	scaffold_74
ENA|JAZBNO010000075|JAZBNO010000075.1	JAZBNO010000075.1	scaffold_75
ENA|JAZBNO010000076|JAZBNO010000076.1	JAZBNO010000076.1	scaffold_76
ENA|JAZBNO010000077|JAZBNO010000077.1	JAZBNO010000077.1	scaffold_77
ENA|JAZBNO010000078|JAZBNO010000078.1	JAZBNO010000078.1	scaffold_78
ENA|JAZBNO010000079|JAZBNO010000079.1	JAZBNO010000079.1	scaffold_79
ENA|JAZBNO010000080|JAZBNO010000080.1	JAZBNO010000080.1	scaffold_80
ENA|JAZBNO010000081|JAZBNO010000081.1	JAZBNO010000081.1	scaffold_81
ENA|JAZBNO010000082|JAZBNO010000082.1	JAZBNO010000082.1	scaffold_82
ENA|JAZBNO010000083|JAZBNO010000083.1	JAZBNO010000083.1	scaffold_83
ENA|JAZBNO010000084|JAZBNO010000084.1	JAZBNO010000084.1	scaffold_84
ENA|JAZBNO010000085|JAZBNO010000085.1	JAZBNO010000085.1	scaffold_85
ENA|JAZBNO010000086|JAZBNO010000086.1	JAZBNO010000086.1	scaffold_86
ENA|JAZBNO010000087|JAZBNO010000087.1	JAZBNO010000087.1	scaffold_87
ENA|JAZBNO010000088|JAZBNO010000088.1	JAZBNO010000088.1	scaffold_88
ENA|JAZBNO010000089|JAZBNO010000089.1	JAZBNO010000089.1	scaffold_89
ENA|JAZBNO010000090|JAZBNO010000090.1	JAZBNO010000090.1	scaffold_90
ENA|JAZBNO010000091|JAZBNO010000091.1	JAZBNO010000091.1	scaffold_91
ENA|JAZBNO010000092|JAZBNO010000092.1	JAZBNO010000092.1	scaffold_92
ENA|JAZBNO010000093|JAZBNO010000093.1	JAZBNO010000093.1	scaffold_93
ENA|JAZBNO010000094|JAZBNO010000094.1	JAZBNO010000094.1	scaffold_94
ENA|JAZBNO010000095|JAZBNO010000095.1	JAZBNO010000095.1	scaffold_95
ENA|JAZBNO010000096|JAZBNO010000096.1	JAZBNO010000096.1	scaffold_96
ENA|JAZBNO010000097|JAZBNO010000097.1	JAZBNO010000097.1	scaffold_97
ENA|JAZBNO010000098|JAZBNO010000098.1	JAZBNO010000098.1	scaffold_98
ENA|JAZBNO010000099|JAZBNO010000099.1	JAZBNO010000099.1	scaffold_99
ENA|JAZBNO010000100|JAZBNO010000100.1	JAZBNO010000100.1	scaffold_100
ENA|JAZBNO010000101|JAZBNO010000101.1	JAZBNO010000101.1	scaffold_101
ENA|JAZBNO010000102|JAZBNO010000102.1	JAZBNO010000102.1	scaffold_102
ENA|JAZBNO010000103|JAZBNO010000103.1	JAZBNO010000103.1	scaffold_103
ENA|JAZBNO010000104|JAZBNO010000104.1	JAZBNO010000104.1	scaffold_104
ENA|JAZBNO010000105|JAZBNO010000105.1	JAZBNO010000105.1	scaffold_105
ENA|JAZBNO010000106|JAZBNO010000106.1	JAZBNO010000106.1	scaffold_106
ENA|JAZBNO010000107|JAZBNO010000107.1	JAZBNO010000107.1	scaffold_107
ENA|JAZBNO010000108|JAZBNO010000108.1	JAZBNO010000108.1	scaffold_108
ENA|JAZBNO010000109|JAZBNO010000109.1	JAZBNO010000109.1	scaffold_109
ENA|JAZBNO010000110|JAZBNO010000110.1	JAZBNO010000110.1	scaffold_110
ENA|JAZBNO010000111|JAZBNO010000111.1	JAZBNO010000111.1	scaffold_111
ENA|JAZBNO010000112|JAZBNO010000112.1	JAZBNO010000112.1	scaffold_112
ENA|JAZBNO010000113|JAZBNO010000113.1	JAZBNO010000113.1	scaffold_113
ENA|JAZBNO010000114|JAZBNO010000114.1	JAZBNO010000114.1	scaffold_114
ENA|JAZBNO010000115|JAZBNO010000115.1	JAZBNO010000115.1	scaffold_115
ENA|JAZBNO010000116|JAZBNO010000116.1	JAZBNO010000116.1	scaffold_116
ENA|JAZBNO010000117|JAZBNO010000117.1	JAZBNO010000117.1	scaffold_117
ENA|JAZBNO010000118|JAZBNO010000118.1	JAZBNO010000118.1	scaffold_118
ENA|JAZBNO010000119|JAZBNO010000119.1	JAZBNO010000119.1	scaffold_119
ENA|JAZBNO010000120|JAZBNO010000120.1	JAZBNO010000120.1	scaffold_120
ENA|JAZBNO010000121|JAZBNO010000121.1	JAZBNO010000121.1	scaffold_121
ENA|JAZBNO010000122|JAZBNO010000122.1	JAZBNO010000122.1	scaffold_122
ENA|JAZBNO010000123|JAZBNO010000123.1	JAZBNO010000123.1	scaffold_123
ENA|JAZBNO010000124|JAZBNO010000124.1	JAZBNO010000124.1	scaffold_124
ENA|JAZBNO010000125|JAZBNO010000125.1	JAZBNO010000125.1	scaffold_125
ENA|JAZBNO010000126|JAZBNO010000126.1	JAZBNO010000126.1	scaffold_126
ENA|JAZBNO010000127|JAZBNO010000127.1	JAZBNO010000127.1	scaffold_127
ENA|JAZBNO010000128|JAZBNO010000128.1	JAZBNO010000128.1	scaffold_128
ENA|JAZBNO010000129|JAZBNO010000129.1	JAZBNO010000129.1	scaffold_129
ENA|JAZBNO010000130|JAZBNO010000130.1	JAZBNO010000130.1	scaffold_130
ENA|JAZBNO010000131|JAZBNO010000131.1	JAZBNO010000131.1	scaffold_131
ENA|JAZBNO010000132|JAZBNO010000132.1	JAZBNO010000132.1	scaffold_132
ENA|JAZBNO010000133|JAZBNO010000133.1	JAZBNO010000133.1	scaffold_133
ENA|JAZBNO010000134|JAZBNO010000134.1	JAZBNO010000134.1	scaffold_134
ENA|JAZBNO010000135|JAZBNO010000135.1	JAZBNO010000135.1	scaffold_135
ENA|JAZBNO010000136|JAZBNO010000136.1	JAZBNO010000136.1	scaffold_136
ENA|JAZBNO010000137|JAZBNO010000137.1	JAZBNO010000137.1	scaffold_137
ENA|JAZBNO010000138|JAZBNO010000138.1	JAZBNO010000138.1	scaffold_138
ENA|JAZBNO010000139|JAZBNO010000139.1	JAZBNO010000139.1	scaffold_139
ENA|JAZBNO010000140|JAZBNO010000140.1	JAZBNO010000140.1	scaffold_140
ENA|JAZBNO010000141|JAZBNO010000141.1	JAZBNO010000141.1	scaffold_141
ENA|JAZBNO010000142|JAZBNO010000142.1	JAZBNO010000142.1	scaffold_142
ENA|JAZBNO010000143|JAZBNO010000143.1	JAZBNO010000143.1	scaffold_143
ENA|JAZBNO010000144|JAZBNO010000144.1	JAZBNO010000144.1	scaffold_144
ENA|JAZBNO010000145|JAZBNO010000145.1	JAZBNO010000145.1	scaffold_145
ENA|JAZBNO010000146|JAZBNO010000146.1	JAZBNO010000146.1	scaffold_146
ENA|JAZBNO010000147|JAZBNO010000147.1	JAZBNO010000147.1	scaffold_147
ENA|JAZBNO010000148|JAZBNO010000148.1	JAZBNO010000148.1	scaffold_148
ENA|JAZBNO010000149|JAZBNO010000149.1	JAZBNO010000149.1	scaffold_149
ENA|JAZBNO010000150|JAZBNO010000150.1	JAZBNO010000150.1	scaffold_150
ENA|JAZBNO010000151|JAZBNO010000151.1	JAZBNO010000151.1	scaffold_151
ENA|JAZBNO010000152|JAZBNO010000152.1	JAZBNO010000152.1	scaffold_152
ENA|JAZBNO010000153|JAZBNO010000153.1	JAZBNO010000153.1	scaffold_153
ENA|JAZBNO010000154|JAZBNO010000154.1	JAZBNO010000154.1	scaffold_154
ENA|JAZBNO010000155|JAZBNO010000155.1	JAZBNO010000155.1	scaffold_155
ENA|JAZBNO010000156|JAZBNO010000156.1	JAZBNO010000156.1	scaffold_156
ENA|JAZBNO010000157|JAZBNO010000157.1	JAZBNO010000157.1	scaffold_157
ENA|JAZBNO010000158|JAZBNO010000158.1	JAZBNO010000158.1	scaffold_158
ENA|JAZBNO010000159|JAZBNO010000159.1	JAZBNO010000159.1	scaffold_159
ENA|JAZBNO010000160|JAZBNO010000160.1	JAZBNO010000160.1	scaffold_160
ENA|JAZBNO010000161|JAZBNO010000161.1	JAZBNO010000161.1	scaffold_161
ENA|JAZBNO010000162|JAZBNO010000162.1	JAZBNO010000162.1	scaffold_162
ENA|JAZBNO010000163|JAZBNO010000163.1	JAZBNO010000163.1	scaffold_163
ENA|JAZBNO010000164|JAZBNO010000164.1	JAZBNO010000164.1	scaffold_164
ENA|JAZBNO010000165|JAZBNO010000165.1	JAZBNO010000165.1	scaffold_165
ENA|JAZBNO010000166|JAZBNO010000166.1	JAZBNO010000166.1	scaffold_166
ENA|JAZBNO010000167|JAZBNO010000167.1	JAZBNO010000167.1	scaffold_167
ENA|JAZBNO010000168|JAZBNO010000168.1	JAZBNO010000168.1	scaffold_168
ENA|JAZBNO010000169|JAZBNO010000169.1	JAZBNO010000169.1	scaffold_169
ENA|JAZBNO010000170|JAZBNO010000170.1	JAZBNO010000170.1	scaffold_170
ENA|JAZBNO010000171|JAZBNO010000171.1	JAZBNO010000171.1	scaffold_171
ENA|JAZBNO010000172|JAZBNO010000172.1	JAZBNO010000172.1	scaffold_172
ENA|JAZBNO010000173|JAZBNO010000173.1	JAZBNO010000173.1	scaffold_173
ENA|JAZBNO010000174|JAZBNO010000174.1	JAZBNO010000174.1	scaffold_174
ENA|JAZBNO010000175|JAZBNO010000175.1	JAZBNO010000175.1	scaffold_175
ENA|JAZBNO010000176|JAZBNO010000176.1	JAZBNO010000176.1	scaffold_176
ENA|JAZBNO010000177|JAZBNO010000177.1	JAZBNO010000177.1	scaffold_177
ENA|JAZBNO010000178|JAZBNO010000178.1	JAZBNO010000178.1	scaffold_178
ENA|JAZBNO010000179|JAZBNO010000179.1	JAZBNO010000179.1	scaffold_179
ENA|JAZBNO010000180|JAZBNO010000180.1	JAZBNO010000180.1	scaffold_180
ENA|JAZBNO010000181|JAZBNO010000181.1	JAZBNO010000181.1	scaffold_181
ENA|JAZBNO010000182|JAZBNO010000182.1	JAZBNO010000182.1	scaffold_182
ENA|JAZBNO010000183|JAZBNO010000183.1	JAZBNO010000183.1	scaffold_183
ENA|JAZBNO010000184|JAZBNO010000184.1	JAZBNO010000184.1	scaffold_184
ENA|JAZBNO010000185|JAZBNO010000185.1	JAZBNO010000185.1	scaffold_185
ENA|JAZBNO010000186|JAZBNO010000186.1	JAZBNO010000186.1	scaffold_186
ENA|JAZBNO010000187|JAZBNO010000187.1	JAZBNO010000187.1	scaffold_187
ENA|JAZBNO010000188|JAZBNO010000188.1	JAZBNO010000188.1	scaffold_188
ENA|JAZBNO010000189|JAZBNO010000189.1	JAZBNO010000189.1	scaffold_189
ENA|JAZBNO010000190|JAZBNO010000190.1	JAZBNO010000190.1	scaffold_190
ENA|JAZBNO010000191|JAZBNO010000191.1	JAZBNO010000191.1	scaffold_191
ENA|JAZBNO010000192|JAZBNO010000192.1	JAZBNO010000192.1	scaffold_192
ENA|JAZBNO010000193|JAZBNO010000193.1	JAZBNO010000193.1	scaffold_193
ENA|JAZBNO010000194|JAZBNO010000194.1	JAZBNO010000194.1	scaffold_194
ENA|JAZBNO010000195|JAZBNO010000195.1	JAZBNO010000195.1	scaffold_195
ENA|JAZBNO010000196|JAZBNO010000196.1	JAZBNO010000196.1	scaffold_196
ENA|JAZBNO010000197|JAZBNO010000197.1	JAZBNO010000197.1	scaffold_197
ENA|JAZBNO010000198|JAZBNO010000198.1	JAZBNO010000198.1	scaffold_198
ENA|JAZBNO010000199|JAZBNO010000199.1	JAZBNO010000199.1	scaffold_199
ENA|JAZBNO010000200|JAZBNO010000200.1	JAZBNO010000200.1	scaffold_200
ENA|JAZBNO010000201|JAZBNO010000201.1	JAZBNO010000201.1	scaffold_201
ENA|JAZBNO010000202|JAZBNO010000202.1	JAZBNO010000202.1	scaffold_202
ENA|JAZBNO010000203|JAZBNO010000203.1	JAZBNO010000203.1	scaffold_203
ENA|JAZBNO010000204|JAZBNO010000204.1	JAZBNO010000204.1	scaffold_204
ENA|JAZBNO010000205|JAZBNO010000205.1	JAZBNO010000205.1	scaffold_205
ENA|JAZBNO010000206|JAZBNO010000206.1	JAZBNO010000206.1	scaffold_206
ENA|JAZBNO010000207|JAZBNO010000207.1	JAZBNO010000207.1	scaffold_207
ENA|JAZBNO010000208|JAZBNO010000208.1	JAZBNO010000208.1	scaffold_208
ENA|JAZBNO010000209|JAZBNO010000209.1	JAZBNO010000209.1	scaffold_209
ENA|JAZBNO010000210|JAZBNO010000210.1	JAZBNO010000210.1	scaffold_210
ENA|JAZBNO010000211|JAZBNO010000211.1	JAZBNO010000211.1	scaffold_211
ENA|JAZBNO010000212|JAZBNO010000212.1	JAZBNO010000212.1	scaffold_212
ENA|JAZBNO010000213|JAZBNO010000213.1	JAZBNO010000213.1	scaffold_213
ENA|JAZBNO010000214|JAZBNO010000214.1	JAZBNO010000214.1	scaffold_214
ENA|JAZBNO010000215|JAZBNO010000215.1	JAZBNO010000215.1	scaffold_215
ENA|JAZBNO010000216|JAZBNO010000216.1	JAZBNO010000216.1	scaffold_216
ENA|JAZBNO010000217|JAZBNO010000217.1	JAZBNO010000217.1	scaffold_217
ENA|JAZBNO010000218|JAZBNO010000218.1	JAZBNO010000218.1	scaffold_218
ENA|JAZBNO010000219|JAZBNO010000219.1	JAZBNO010000219.1	scaffold_219
ENA|JAZBNO010000220|JAZBNO010000220.1	JAZBNO010000220.1	scaffold_220
ENA|JAZBNO010000221|JAZBNO010000221.1	JAZBNO010000221.1	scaffold_221
ENA|JAZBNO010000222|JAZBNO010000222.1	JAZBNO010000222.1	scaffold_222
ENA|JAZBNO010000223|JAZBNO010000223.1	JAZBNO010000223.1	scaffold_223
ENA|JAZBNO010000224|JAZBNO010000224.1	JAZBNO010000224.1	scaffold_224
ENA|JAZBNO010000225|JAZBNO010000225.1	JAZBNO010000225.1	scaffold_225
ENA|JAZBNO010000226|JAZBNO010000226.1	JAZBNO010000226.1	scaffold_226
ENA|JAZBNO010000227|JAZBNO010000227.1	JAZBNO010000227.1	scaffold_227
ENA|JAZBNO010000228|JAZBNO010000228.1	JAZBNO010000228.1	scaffold_228
ENA|JAZBNO010000229|JAZBNO010000229.1	JAZBNO010000229.1	scaffold_229
ENA|JAZBNO010000230|JAZBNO010000230.1	JAZBNO010000230.1	scaffold_230
ENA|JAZBNO010000231|JAZBNO010000231.1	JAZBNO010000231.1	scaffold_231
ENA|JAZBNO010000232|JAZBNO010000232.1	JAZBNO010000232.1	scaffold_232
ENA|JAZBNO010000233|JAZBNO010000233.1	JAZBNO010000233.1	scaffold_233
ENA|JAZBNO010000234|JAZBNO010000234.1	JAZBNO010000234.1	scaffold_234
ENA|JAZBNO010000235|JAZBNO010000235.1	JAZBNO010000235.1	scaffold_235
ENA|JAZBNO010000236|JAZBNO010000236.1	JAZBNO010000236.1	scaffold_236
ENA|JAZBNO010000237|JAZBNO010000237.1	JAZBNO010000237.1	scaffold_237
ENA|JAZBNO010000238|JAZBNO010000238.1	JAZBNO010000238.1	scaffold_238
ENA|JAZBNO010000239|JAZBNO010000239.1	JAZBNO010000239.1	scaffold_239
ENA|JAZBNO010000240|JAZBNO010000240.1	JAZBNO010000240.1	scaffold_240
ENA|JAZBNO010000241|JAZBNO010000241.1	JAZBNO010000241.1	scaffold_241
ENA|JAZBNO010000242|JAZBNO010000242.1	JAZBNO010000242.1	scaffold_242
ENA|JAZBNO010000243|JAZBNO010000243.1	JAZBNO010000243.1	scaffold_243
ENA|JAZBNO010000244|JAZBNO010000244.1	JAZBNO010000244.1	scaffold_244
ENA|JAZBNO010000245|JAZBNO010000245.1	JAZBNO010000245.1	scaffold_245
ENA|JAZBNO010000246|JAZBNO010000246.1	JAZBNO010000246.1	scaffold_246
ENA|JAZBNO010000247|JAZBNO010000247.1	JAZBNO010000247.1	scaffold_247
ENA|JAZBNO010000248|JAZBNO010000248.1	JAZBNO010000248.1	scaffold_248
ENA|JAZBNO010000249|JAZBNO010000249.1	JAZBNO010000249.1	scaffold_249
ENA|JAZBNO010000250|JAZBNO010000250.1	JAZBNO010000250.1	scaffold_250
ENA|JAZBNO010000251|JAZBNO010000251.1	JAZBNO010000251.1	scaffold_251
ENA|JAZBNO010000252|JAZBNO010000252.1	JAZBNO010000252.1	scaffold_252
ENA|JAZBNO010000253|JAZBNO010000253.1	JAZBNO010000253.1	scaffold_253
ENA|JAZBNO010000254|JAZBNO010000254.1	JAZBNO010000254.1	scaffold_254
ENA|JAZBNO010000255|JAZBNO010000255.1	JAZBNO010000255.1	scaffold_255
ENA|JAZBNO010000256|JAZBNO010000256.1	JAZBNO010000256.1	scaffold_256
ENA|JAZBNO010000257|JAZBNO010000257.1	JAZBNO010000257.1	scaffold_257
ENA|JAZBNO010000258|JAZBNO010000258.1	JAZBNO010000258.1	scaffold_258
ENA|JAZBNO010000259|JAZBNO010000259.1	JAZBNO010000259.1	scaffold_259
ENA|JAZBNO010000260|JAZBNO010000260.1	JAZBNO010000260.1	scaffold_260
ENA|JAZBNO010000261|JAZBNO010000261.1	JAZBNO010000261.1	scaffold_261
ENA|JAZBNO010000262|JAZBNO010000262.1	JAZBNO010000262.1	scaffold_262
ENA|JAZBNO010000263|JAZBNO010000263.1	JAZBNO010000263.1	scaffold_263
ENA|JAZBNO010000264|JAZBNO010000264.1	JAZBNO010000264.1	scaffold_264
ENA|JAZBNO010000265|JAZBNO010000265.1	JAZBNO010000265.1	scaffold_265
ENA|JAZBNO010000266|JAZBNO010000266.1	JAZBNO010000266.1	scaffold_266
ENA|JAZBNO010000267|JAZBNO010000267.1	JAZBNO010000267.1	scaffold_267
ENA|JAZBNO010000268|JAZBNO010000268.1	JAZBNO010000268.1	scaffold_268
ENA|JAZBNO010000269|JAZBNO010000269.1	JAZBNO010000269.1	scaffold_269
ENA|JAZBNO010000270|JAZBNO010000270.1	JAZBNO010000270.1	scaffold_270
ENA|JAZBNO010000271|JAZBNO010000271.1	JAZBNO010000271.1	scaffold_271
ENA|JAZBNO010000272|JAZBNO010000272.1	JAZBNO010000272.1	scaffold_272
ENA|JAZBNO010000273|JAZBNO010000273.1	JAZBNO010000273.1	scaffold_273
ENA|JAZBNO010000274|JAZBNO010000274.1	JAZBNO010000274.1	scaffold_274
ENA|JAZBNO010000275|JAZBNO010000275.1	JAZBNO010000275.1	scaffold_275
ENA|JAZBNO010000276|JAZBNO010000276.1	JAZBNO010000276.1	scaffold_276
ENA|JAZBNO010000277|JAZBNO010000277.1	JAZBNO010000277.1	scaffold_277
ENA|JAZBNO010000278|JAZBNO010000278.1	JAZBNO010000278.1	scaffold_278
ENA|JAZBNO010000279|JAZBNO010000279.1	JAZBNO010000279.1	scaffold_279
ENA|JAZBNO010000280|JAZBNO010000280.1	JAZBNO010000280.1	scaffold_280
ENA|JAZBNO010000281|JAZBNO010000281.1	JAZBNO010000281.1	scaffold_281
ENA|JAZBNO010000282|JAZBNO010000282.1	JAZBNO010000282.1	scaffold_282
ENA|JAZBNO010000283|JAZBNO010000283.1	JAZBNO010000283.1	scaffold_283
ENA|JAZBNO010000284|JAZBNO010000284.1	JAZBNO010000284.1	scaffold_284
ENA|JAZBNO010000285|JAZBNO010000285.1	JAZBNO010000285.1	scaffold_285
ENA|JAZBNO010000286|JAZBNO010000286.1	JAZBNO010000286.1	scaffold_286
ENA|JAZBNO010000287|JAZBNO010000287.1	JAZBNO010000287.1	scaffold_287
ENA|JAZBNO010000288|JAZBNO010000288.1	JAZBNO010000288.1	scaffold_288
ENA|JAZBNO010000289|JAZBNO010000289.1	JAZBNO010000289.1	scaffold_289
ENA|JAZBNO010000290|JAZBNO010000290.1	JAZBNO010000290.1	scaffold_290
ENA|JAZBNO010000291|JAZBNO010000291.1	JAZBNO010000291.1	scaffold_291
ENA|JAZBNO010000292|JAZBNO010000292.1	JAZBNO010000292.1	scaffold_292
ENA|JAZBNO010000293|JAZBNO010000293.1	JAZBNO010000293.1	scaffold_293
ENA|JAZBNO010000294|JAZBNO010000294.1	JAZBNO010000294.1	scaffold_294
ENA|JAZBNO010000295|JAZBNO010000295.1	JAZBNO010000295.1	scaffold_295
ENA|JAZBNO010000296|JAZBNO010000296.1	JAZBNO010000296.1	scaffold_296
ENA|JAZBNO010000297|JAZBNO010000297.1	JAZBNO010000297.1	scaffold_297
ENA|JAZBNO010000298|JAZBNO010000298.1	JAZBNO010000298.1	scaffold_298
ENA|JAZBNO010000299|JAZBNO010000299.1	JAZBNO010000299.1	scaffold_299
ENA|JAZBNO010000300|JAZBNO010000300.1	JAZBNO010000300.1	scaffold_300
ENA|JAZBNO010000301|JAZBNO010000301.1	JAZBNO010000301.1	scaffold_301
ENA|JAZBNO010000302|JAZBNO010000302.1	JAZBNO010000302.1	scaffold_302
ENA|JAZBNO010000303|JAZBNO010000303.1	JAZBNO010000303.1	scaffold_303
ENA|JAZBNO010000304|JAZBNO010000304.1	JAZBNO010000304.1	scaffold_304
ENA|JAZBNO010000305|JAZBNO010000305.1	JAZBNO010000305.1	scaffold_305
ENA|JAZBNO010000306|JAZBNO010000306.1	JAZBNO010000306.1	scaffold_306
ENA|JAZBNO010000307|JAZBNO010000307.1	JAZBNO010000307.1	scaffold_307
ENA|JAZBNO010000308|JAZBNO010000308.1	JAZBNO010000308.1	scaffold_308
ENA|JAZBNO010000309|JAZBNO010000309.1	JAZBNO010000309.1	scaffold_309
ENA|JAZBNO010000310|JAZBNO010000310.1	JAZBNO010000310.1	scaffold_310
